Cantidad colores: 161	Frecuencia: 0,07
Cantidad colores: 160	Frecuencia: 0,13
Cantidad colores: 159	Frecuencia: 0,72
Cantidad colores: 158	Frecuencia: 2,3
Cantidad colores: 157	Frecuencia: 4,71
Cantidad colores: 156	Frecuencia: 9,28
Cantidad colores: 155	Frecuencia: 13,75
Cantidad colores: 154	Frecuencia: 16,72
Cantidad colores: 153	Frecuencia: 16,85
Cantidad colores: 152	Frecuencia: 14,71
Cantidad colores: 151	Frecuencia: 10,42
Cantidad colores: 150	Frecuencia: 5,74
Cantidad colores: 149	Frecuencia: 2,96
Cantidad colores: 148	Frecuencia: 1,12
Cantidad colores: 147	Frecuencia: 0,39
Cantidad colores: 146	Frecuencia: 0,08
Cantidad colores: 145	Frecuencia: 0,04
Cantidad colores: 144	Frecuencia: 0,01

Numero Cromatico: 144
