Cantidad colores: 155	Frecuencia: 0,0003
Cantidad colores: 154	Frecuencia: 0,0017
Cantidad colores: 153	Frecuencia: 0,0056
Cantidad colores: 152	Frecuencia: 0,0142
Cantidad colores: 151	Frecuencia: 0,0342
Cantidad colores: 150	Frecuencia: 0,0672
Cantidad colores: 149	Frecuencia: 0,1131
Cantidad colores: 148	Frecuencia: 0,1513
Cantidad colores: 147	Frecuencia: 0,1715
Cantidad colores: 146	Frecuencia: 0,1637
Cantidad colores: 145	Frecuencia: 0,1244
Cantidad colores: 144	Frecuencia: 0,0792
Cantidad colores: 143	Frecuencia: 0,0451
Cantidad colores: 142	Frecuencia: 0,0189
Cantidad colores: 141	Frecuencia: 0,0073
Cantidad colores: 140	Frecuencia: 0,0022
Cantidad colores: 139	Frecuencia: 0,0001

Numero Cromatico: 139
