Cantidad colores: 149	Frecuencia: 0,0001
Cantidad colores: 148	Frecuencia: 0,0003
Cantidad colores: 147	Frecuencia: 0,0007
Cantidad colores: 146	Frecuencia: 0,0037
Cantidad colores: 145	Frecuencia: 0,0166
Cantidad colores: 144	Frecuencia: 0,047
Cantidad colores: 143	Frecuencia: 0,111
Cantidad colores: 142	Frecuencia: 0,1797
Cantidad colores: 141	Frecuencia: 0,2116
Cantidad colores: 140	Frecuencia: 0,2001
Cantidad colores: 139	Frecuencia: 0,1354
Cantidad colores: 138	Frecuencia: 0,0661
Cantidad colores: 137	Frecuencia: 0,0203
Cantidad colores: 136	Frecuencia: 0,0071
Cantidad colores: 135	Frecuencia: 0,0003

Numero Cromatico> 135
